rougeLsum,length,str_em,Disambig-F1,ovscore
53.003533568904594,156.0,60.0,40.0,46.04499259155314
27.21518987341772,213.0,0.0,53.333333333333336,38.09825183980159
35.9375,84.0,40.0,37.142857142857146,36.53520806799146
22.459893048128343,291.0,50.0,0.0,0.0
19.9203187250996,409.0,50.0,60.00000000000001,34.57194127476755
40.625,124.0,50.0,50.0,45.069390943299865
40.19607843137255,123.0,33.33333333333333,33.33333333333333,36.60422490704798
50.0,87.0,66.66666666666666,33.33333333333333,40.8248290463863
44.897959183673464,102.0,100.0,100.0,67.005939426049
37.5,56.0,100.0,50.0,43.30127018922193
37.878787878787875,275.0,25.0,25.0,30.772872744833183
33.5195530726257,66.0,50.0,0.0,0.0
37.2093023255814,106.0,50.0,41.666666666666664,39.37496154790789
30.340557275541798,247.0,0.0,32.5,31.40172147279681
24.67191601049869,287.0,75.0,12.5,17.56129124327803
35.16483516483517,31.0,25.0,25.0,29.649972666444047
49.59999999999999,69.0,50.0,50.0,49.79959839195492
54.71698113207548,186.0,50.0,30.769230769230766,41.031687991703144
39.24050632911393,84.0,50.0,50.0,44.29475495423466
23.0,145.0,50.0,50.0,33.91164991562634
46.07329842931937,122.0,66.66666666666666,33.33333333333333,39.188985880099594
37.36263736263736,173.0,33.33333333333333,54.20875420875421,45.00424452628913
37.86407766990291,79.0,0.0,23.838383838383837,30.04360859120495
30.60109289617486,126.0,50.0,50.0,39.11591293589788
31.034482758620683,76.0,50.0,50.0,39.391929857916764
25.423728813559322,101.0,0.0,50.0,35.65370164061463
40.0,56.0,0.0,45.0,42.42640687119285
42.5531914893617,124.0,100.0,73.33333333333334,55.86203877309281
38.96103896103896,36.0,100.0,100.0,62.418778393235925
53.6082474226804,103.0,0.0,39.86013986013985,46.225882792273666
27.27272727272727,213.0,0.0,0.0,0.0
29.10798122065728,107.0,33.33333333333333,55.55555555555555,40.21330709869922
