,rougeLsum,length,str_em,Disambig-F1
88,29.365079365079367,137.0,0.0,16.666666666666664
89,21.710526315789473,182.0,60.0,35.0
90,26.41509433962264,137.0,50.0,50.0
91,35.39823008849557,60.0,0.0,50.0
92,54.96183206106869,63.0,50.0,50.0
93,38.4,48.0,66.66666666666666,33.33333333333333
94,32.35294117647059,11.0,33.33333333333333,33.33333333333333
95,76.47058823529413,26.0,100.0,100.0
96,13.775510204081634,302.0,100.0,66.66666666666666
97,42.49084249084249,157.0,50.0,25.0
98,28.07017543859649,11.0,50.0,50.0
99,42.5287356321839,103.0,75.0,41.666666666666664
100,49.494949494949495,123.0,50.0,60.00000000000001
101,33.50785340314136,102.0,25.0,50.0
102,29.824561403508774,54.0,25.0,25.0
103,59.09090909090908,34.0,50.0,50.0
104,31.767337807606268,308.0,50.0,66.66666666666666
105,43.786982248520715,93.0,100.0,83.33333333333333
106,34.375,36.0,50.0,50.0
107,51.162790697674424,62.0,66.66666666666666,50.0
108,53.89221556886229,79.0,33.33333333333333,61.10516934046346
109,33.56164383561644,164.0,0.0,26.666666666666668
110,22.09631728045326,291.0,50.0,50.0
111,36.95652173913043,36.0,100.0,100.0
112,28.671328671328673,146.0,100.0,100.0
113,34.75409836065574,177.0,50.0,45.0
114,26.515151515151516,197.0,50.0,0.0
115,31.16883116883117,38.0,100.0,100.0
116,49.33333333333334,61.0,50.0,32.142857142857146
117,34.48275862068965,55.0,50.0,0.0
118,30.66666666666667,52.0,33.33333333333333,68.88888888888887
119,27.192982456140346,161.0,33.33333333333333,33.33333333333333
120,45.65217391304348,49.0,50.0,25.0
121,33.56643356643357,54.0,100.0,66.66666666666666
122,38.46153846153847,11.0,0.0,0.0
123,42.038216560509554,84.0,33.33333333333333,33.33333333333333
124,41.54589371980676,93.0,60.0,53.333333333333336
125,30.69767441860465,160.0,50.0,67.85714285714286
126,53.333333333333336,53.0,100.0,57.14285714285715
127,47.42268041237113,34.0,66.66666666666666,66.66666666666666
128,46.42857142857142,77.0,100.0,75.0
129,44.03669724770643,44.0,100.0,0.0
130,27.11864406779661,43.0,0.0,4.761904761904763
131,48.07692307692307,120.0,100.0,100.0
132,35.07109004739337,123.0,0.0,18.0
133,21.397379912663755,376.0,0.0,6.407322654462242
134,32.98969072164948,48.0,0.0,16.666666666666664
135,42.42424242424242,31.0,66.66666666666666,66.66666666666666
136,42.74193548387096,163.0,100.0,100.0
137,42.78074866310161,121.0,100.0,50.0
138,41.73913043478261,106.0,40.0,43.07692307692307
139,40.25157232704403,77.0,100.0,91.66666666666666
140,40.49586776859504,165.0,100.0,100.0
141,34.95145631067961,68.0,100.0,57.14285714285715
142,47.887323943661976,132.0,50.0,75.0
143,34.899328859060404,75.0,100.0,75.0
144,70.83333333333334,18.0,100.0,100.0
145,52.92307692307692,179.0,100.0,50.0
146,56.41025641025641,35.0,0.0,25.0
147,19.370460048426146,346.0,80.0,80.0
148,19.2090395480226,32.0,16.666666666666664,16.666666666666664
149,31.775700934579437,49.0,0.0,13.333333333333334
150,28.78787878787879,55.0,0.0,4.166666666666666
151,40.944881889763785,110.0,20.0,33.33333333333333
152,25.660377358490567,406.0,100.0,29.166666666666664
153,21.238938053097346,26.0,100.0,100.0
154,43.2,54.0,16.666666666666664,13.333333333333334
155,35.0,199.0,50.0,88.75
156,42.42424242424242,22.0,0.0,20.0
157,31.27962085308057,138.0,0.0,59.04761904761905
158,22.22222222222222,144.0,50.0,25.0
159,64.36781609195403,50.0,100.0,100.0
160,34.285714285714285,38.0,0.0,0.0
161,31.147540983606564,34.0,33.33333333333333,44.44444444444444
162,29.629629629629633,50.0,0.0,22.5
163,71.7948717948718,62.0,50.0,50.0
164,64.40677966101694,59.0,66.66666666666666,43.49650349650349
165,7.692307692307692,2.0,50.0,50.0
166,58.18181818181818,78.0,100.0,75.0
167,33.33333333333333,14.0,40.0,40.0
168,24.043715846994534,100.0,66.66666666666666,88.88888888888889
169,40.36697247706423,54.0,83.33333333333334,33.33333333333333
170,44.34389140271494,110.0,0.0,28.817204301075268
171,15.656565656565657,365.0,50.0,22.22222222222222
172,44.871794871794876,46.0,100.0,60.0
173,28.971962616822434,128.0,33.33333333333333,16.666666666666664
174,33.744855967078195,184.0,100.0,100.0
175,30.303030303030308,52.0,0.0,0.0
176,25.196850393700785,64.0,40.0,60.0
177,43.07692307692307,57.0,50.0,50.0
178,25.974025974025977,19.0,0.0,33.33333333333333
179,57.51633986928104,83.0,100.0,100.0
180,47.36842105263159,175.0,83.33333333333334,47.72486772486772
181,34.14634146341463,41.0,33.33333333333333,33.33333333333333
182,24.04092071611253,297.0,100.0,8.333333333333332
183,30.24390243902439,117.0,0.0,38.888888888888886
184,64.99999999999999,36.0,100.0,61.48148148148148
185,28.87700534759358,84.0,33.33333333333333,16.666666666666664
186,21.978021978021978,16.0,100.0,0.0
187,27.011494252873558,265.0,100.0,87.17948717948718
